annotation_id	source
358	CTRL_01_Grid7_c138
359	CTRL_01_Grid7_c153
360	CTRL_01_Grid7_c186
361	CTRL_01_Grid7_c205
362	CTRL_01_Grid7_c211
363	CTRL_01_Grid7_c225
364	CTRL_02_Grid3_c012
365	CTRL_02_Grid3_c051
366	CTRL_02_Grid3_c081
367	CTRL_02_Grid3_c097
368	CTRL_02_Grid3_c1108
369	CTRL_02_Grid3_c1150
370	CTRL_02_Grid3_c1156
371	CTRL_02_Grid3_c1209
372	CTRL_02_Grid3_c1233
373	CTRL_02_Grid3_c1243
374	CTRL_02_Grid3_c1246
375	CTRL_02_Grid3_c155
376	CTRL_02_Grid3_c159
377	CTRL_02_Grid3_c195
378	CTRL_02_Grid3_c210
379	CTRL_02_Grid3_c214
380	CTRL_02_Grid3_c248
381	CTRL_02_Grid3_c338
382	CTRL_02_Grid3_c346
383	CTRL_02_Grid3_c409
384	CTRL_02_Grid3_c453
385	CTRL_02_Grid3_c510
386	CTRL_02_Grid3_c550
387	CTRL_02_Grid3_c564
388	CTRL_02_Grid3_c578
389	CTRL_02_Grid3_c618
390	CTRL_02_Grid3_c625
391	CTRL_02_Grid3_c838
392	CTRL_02_Grid3_c915
393	CTRL_02_Grid3_c934
394	CTRL_02_Grid3_c973
395	CTRL_02_Grid3_c982
396	CTRL_03_Grid2_c009
397	CTRL_03_Grid2_c022
398	CTRL_03_Grid2_c033
399	CTRL_03_Grid2_c039
400	CTRL_03_Grid2_c061
401	CTRL_03_Grid2_c077
402	CTRL_03_Grid2_c091
403	CTRL_03_Grid2_c096
404	CTRL_03_Grid2_c103
405	CTRL_03_Grid2_c132
406	CTRL_03_Grid2_c133
407	CTRL_03_Grid2_c174
408	CTRL_03_Grid2_c177
409	CTRL_03_Grid3_c005
410	CTRL_03_Grid3_c013
411	CTRL_03_Grid3_c016
412	CTRL_03_Grid3_c019
413	CTRL_03_Grid3_c096
414	CTRL_03_Grid3_c102
415	CTRL_03_Grid3_c109
416	CTRL_03_Grid3_c110
417	CTRL_03_Grid3_c116
418	CTRL_03_Grid3_c120
419	CTRL_03_Grid3_c124
420	CTRL_03_Grid3_c129
421	CTRL_03_Grid3_c139
422	CTRL_03_Grid3_c168
423	CTRL_03_Grid3_c197
424	CTRL_03_Grid3_c211
425	CTRL_03_Grid4_c001
426	CTRL_03_Grid4_c002
427	CTRL_03_Grid4_c003
428	CTRL_03_Grid4_c005
429	CTRL_03_Grid4_c006
430	CTRL_03_Grid4_c007
431	CTRL_03_Grid4_c008
432	CTRL_04_Grid4_c050
433	CTRL_04_Grid4_c100
434	CTRL_04_Grid4_c191
435	CTRL_04_Grid4_c241
436	CTRL_04_Grid4_c291
437	CTRL_04_Grid4_c317
438	CTRL_04_Grid4_c329
439	CTRL_04_Grid4_c360
440	CTRL_04_Grid4_c387
441	CTRL_04_Grid4_c389
442	CTRL_04_Grid4_c390
443	CTRL_04_Grid5_c025
444	CTRL_04_Grid5_c058
445	CTRL_04_Grid5_c113
446	CTRL_04_Grid5_c132
447	CTRL_04_Grid5_c212
448	CTRL_04_Grid5_c311
449	CTRL_04_Grid5_c332
450	CTRL_04_Grid5_c353
451	CTRL_04_Grid5_c378
452	CTRL_05_Grid5_c006
453	CTRL_05_Grid5_c012
454	CTRL_05_Grid5_c026
455	CTRL_05_Grid5_c040
456	CTRL_05_Grid5_c096
457	CTRL_05_Grid5_c104
458	CTRL_05_Grid5_c130
459	CTRL_05_Grid5_c133
460	CTRL_05_Grid5_c181
461	CTRL_05_Grid5_c193
462	CTRL_05_Grid5_c250
463	CTRL_05_Grid5_c256
464	CTRL_05_Grid5_c258
465	CTRL_05_Grid5_c292
466	CTRL_05_Grid5_c303
467	CTRL_05_Grid5_c312
468	CTRL_05_Grid5_c316
469	CTRL_05_Grid5_c317
470	CTRL_05_Grid5_c324
471	CTRL_05_Grid5_c327
472	CTRL_05_Grid5_c336
473	CTRL_05_Grid5_c343
474	CTRL_05_Grid5_c354
475	CTRL_05_Grid5_c381
476	CTRL_05_Grid5_c386
477	CTRL_05_Grid5_c389
478	CTRL_05_Grid5_c396
479	CTRL_05_Grid5_c402
480	CTRL_05_Grid5_c413
481	CTRL_05_Grid5_c418
482	CTRL_05_Grid5_c492
483	CTRL_05_Grid5_c502
484	CTRL_05_Grid5_c541
485	CTRL_05_Grid5_c548
486	CTRL_05_Grid5_c577
487	CTRL_06_Grid4_c0006
488	CTRL_06_Grid4_c0044
489	CTRL_06_Grid4_c0054
490	CTRL_06_Grid4_c0088
491	CTRL_06_Grid4_c0106
492	CTRL_06_Grid4_c0112
493	CTRL_06_Grid4_c0120
494	CTRL_06_Grid4_c0155
495	CTRL_06_Grid4_c0222
496	CTRL_06_Grid4_c0239
497	CTRL_06_Grid4_c0248
498	CTRL_06_Grid4_c0254
499	CTRL_06_Grid4_c0270
500	CTRL_06_Grid4_c0345
501	CTRL_06_Grid4_c0392
502	CTRL_06_Grid4_c0410
503	CTRL_06_Grid4_c0472
504	CTRL_06_Grid4_c0475
505	CTRL_06_Grid4_c0496
506	CTRL_06_Grid4_c0504
507	CTRL_06_Grid4_c0510
508	CTRL_06_Grid4_c0523
509	CTRL_06_Grid4_c0542
510	CTRL_06_Grid4_c0543
511	CTRL_06_Grid4_c0585
512	CTRL_06_Grid4_c0635
513	CTRL_06_Grid5_c004
514	CTRL_06_Grid5_c007
515	CTRL_06_Grid5_c008
516	CTRL_07_Grid3_c012
517	CTRL_07_Grid3_c019
518	CTRL_07_Grid3_c059
519	CTRL_07_Grid3_c060
520	CTRL_07_Grid3_c143
521	CTRL_07_Grid3_c150
522	CTRL_07_Grid3_c181
523	CTRL_07_Grid3_c230
524	CTRL_07_Grid3_c261
525	CTRL_07_Grid3_c377
526	CTRL_07_Grid3_c379
527	CTRL_07_Grid3_c399
528	CTRL_07_Grid3_c456
529	CTRL_07_Grid3_c458
530	CTRL_07_Grid3_c465
531	CTRL_07_Grid3_c478
532	CTRL_07_Grid3_c506
533	CTRL_07_Grid4_c018
534	CTRL_07_Grid4_c034
535	CTRL_07_Grid4_c043
536	CTRL_07_Grid4_c089
537	CTRL_07_Grid4_c115
538	CTRL_07_Grid4_c128
539	CTRL_07_Grid4_c131
540	CTRL_07_Grid4_c155
541	CTRL_07_Grid4_c158
542	CTRL_07_Grid4_c167
543	CTRL_07_Grid4_c187
544	CTRL_07_Grid4_c199
545	CTRL_07_Grid4_c205
546	CTRL_07_Grid4_c216
547	CTRL_07_Grid4_c217
548	CTRL_07_Grid4_c225
549	CTRL_07_Grid4_c246
550	CTRL_07_Grid4_c277
551	CTRL_07_Grid4_c286
552	CTRL_07_Grid4_c313
553	CTRL_07_Grid4_c326
554	CTRL_07_Grid4_c350
555	CTRL_07_Grid4_c352
556	CTRL_07_Grid4_c364
557	CTRL_07_Grid4_c366
558	CTRL_07_Grid4_c412
559	CTRL_07_Grid4_c420
560	CTRL_07_Grid4_c428
561	CTRL_07_Grid4_c436
562	CTRL_07_Grid4_c464
563	CTRL_07_Grid4_c515
564	CTRL_07_Grid4_c518
565	MGUS_00_Grid1_c001
566	MGUS_00_Grid1_c251
567	MGUS_00_Grid2_c025
568	MGUS_00_Grid2_c112
569	MGUS_00_Grid2_c120
570	MGUS_00_Grid2_c146
571	MGUS_00_Grid2_c232
572	MGUS_00_Grid3_c055
573	MGUS_00_Grid3_c057
574	MGUS_00_Grid3_c064
575	MGUS_00_Grid3_c066
576	MGUS_00_Grid3_c128
577	MGUS_00_Grid3_c185
578	MGUS_00_Grid3_c244
579	MGUS_00_Grid3_c304
580	MGUS_00_Grid4_c205
581	MGUS_00_Grid4_c417
582	MGUS_00_Grid5_c046
583	MGUS_00_Grid5_c060
584	MGUS_00_Grid5_c133
585	MGUS_00_Grid5_c147
586	MGUS_00_Grid5_c159
587	MGUS_00_Grid5_c185
588	MGUS_00_Grid5_c212
589	MGUS_00_Grid5_c215
590	MGUS_00_Grid6_c064
591	MGUS_00_Grid6_c089
592	MGUS_00_Grid6_c221
593	MGUS_01_Grid3_c001
594	MGUS_01_Grid3_c004
595	MGUS_01_Grid3_c005
596	MGUS_01_Grid3_c045
597	MGUS_01_Grid3_c047
598	MGUS_01_Grid3_c056
599	MGUS_01_Grid3_c059
600	MGUS_01_Grid3_c061
601	MGUS_01_Grid3_c086
602	MGUS_01_Grid3_c093
603	MGUS_01_Grid3_c112
604	MGUS_01_Grid3_c122
605	MGUS_01_Grid3_c142
606	MGUS_01_Grid3_c154
607	MGUS_01_Grid3_c157
608	MGUS_01_Grid3_c171
609	MGUS_01_Grid3_c199
610	MGUS_01_Grid3_c210
611	MGUS_01_Grid3_c238
612	MGUS_01_Grid3_c248
613	MGUS_01_Grid3_c253
614	MGUS_01_Grid3_c262
615	MGUS_01_Grid3_c270
616	MGUS_01_Grid3_c279
617	MGUS_01_Grid3_c284
618	MGUS_01_Grid3_c318
619	MGUS_01_Grid3_c331
620	MGUS_01_Grid3_c371
621	MGUS_01_Grid3_c380
622	MGUS_01_Grid3_c414
623	MGUS_01_Grid3_c418
624	MGUS_01_Grid3_c419
625	MGUS_01_Grid3_c432
626	MGUS_01_Grid3_c446
627	MGUS_01_Grid3_c499
628	MGUS_01_Grid3_c508
629	MGUS_01_Grid3_c545
630	MGUS_01_Grid3_c555
631	MGUS_01_Grid3_c558
632	MGUS_01_Grid3_c566
633	MGUS_01_Grid3_c573
634	MGUS_01_Grid3_c580
